screen_time,app_usage,night_usage,unlock_count,notification_count,social_media_time,gaming_time,productivity_time,weekend_usage,stress_level,anxiety_level,depression_level,sleep_quality,work_productivity,social_interactions,physical_activity,age,gender,education,occupation_type,income_level,addiction_level
8.993428306022466,2.565946395820696,1.663102370120295,180.61608624053397,393.9851246068554,3.7848651753116065,1.8218351900227705,1.2533397643070026,7.321566201350287,5.0,4.0,2.0,3,2,5,2,28.73514534700969,1,2,2,2,2
7.72347139765763,4.451306980596897,2.242882999514652,192.9365080964178,149.68152441969383,3.951016144389535,0.7186423043830538,0.4940205315028265,7.215501334653254,3.0,3.0,2.0,3,3,4,1,44.507824442285205,1,3,1,2,1
9.295377076201385,5.25551003984104,1.8695277797109062,169.94759648542177,273.7763955298029,4.0964423178813725,2.191356381080525,0.40622988259360193,12.56351483093233,5.0,4.0,2.0,3,2,4,1,30.57974749241333,1,3,1,3,2
11.046059712816051,9.397837783212342,2.3424050175106346,72.30009236152921,296.6671981294932,5.42029219246927,0.9096383081946693,0.34329202224376554,13.661034159649994,3.0,2.0,4.0,3,2,5,2,18.97900280872727,0,2,1,3,2
7.531693250553328,7.001795624160764,2.7430196271465737,143.78310269888962,301.2726926719705,2.879174037269885,2.2495550374451283,0.6129101111597326,6.677793853974586,4.0,3.0,4.0,3,2,5,1,36.018880665533445,1,2,2,3,2
7.531726086101639,3.5961331756201953,4.004585383597661,103.7716970033234,314.4396844862465,2.7304795127310104,1.2258885246192786,0.6159747767512789,7.327513918900739,5.0,4.0,2.0,2,3,4,2,33.59749434703678,0,3,2,3,1
11.158425631014783,6.874865320951747,2.614609153553157,141.89576908327706,348.8351855847595,5.854929613214463,0.0,0.7851883619379537,11.856307048760362,3.0,2.0,2.0,3,2,4,1,30.97211501529503,0,3,1,3,2
9.534869458305817,3.214852819910942,1.0972491518764889,189.20016944535575,297.1674048763719,3.306032887178053,0.517583759519063,0.2221813506952961,10.333799982855991,5.0,2.9535714285714287,4.0,3,2,5,2,13.687804355534464,1,3,1,2,2
7.061051228130096,7.948843896996732,4.368081415794192,162.20603343499891,270.55533742850554,2.105446969634401,1.0695852913127157,0.40625153655762164,10.691070263302306,3.0,2.0,3.0,2,3,5,2,40.45318309713279,0,2,1,3,2
9.08512008717193,5.151975626727818,1.9954918396619525,195.9236346558973,267.39285242722434,3.272305086850195,2.868189023748578,1.1091637169672608,11.241503237132642,5.0,3.0,4.0,3,3,4,1,44.15670025378765,1,2,2,2,2
7.0731646143750755,5.831454860269493,2.9295354874744457,163.67015682854156,251.07873583693163,3.504920897133999,2.4011436305292246,0.5673771899749975,8.39816959563981,4.0,3.0,2.0,2,2,5,1,29.803306093364963,1,3,1,2,1
7.068540492859486,8.386433965575943,3.535843808328854,98.06696241324389,363.0034659461492,6.3324440915886475,3.123861412322142,0.4482426880019761,9.824924812475466,4.0,3.0,2.0,2,3,5,2,24.698021233485292,0,2,2,2,2
8.48392454313207,3.68310557654835,3.2395325020833394,49.16611973709061,248.27772164187883,5.387239318565106,3.1536352160298584,0.21751467032488953,9.630480376745231,5.0,4.0,2.0,3,3,4,1,34.26744939018875,1,3,1,3,1
4.173439510684404,3.4851872667966157,4.31301545702577,155.9523504671836,367.74168872065957,5.721280924948363,0.965249195409085,0.6517802917462254,6.853770999386349,5.0,3.0,4.0,2,3,5,1,34.36241718864661,0,2,2,2,1
4.5501643349739345,4.949521212577191,3.5748037720713106,141.4429413459534,301.5199265807897,5.229960463520179,1.3115131402411706,0.8093054651127332,9.787727358039259,3.0,4.0,2.0,2,2,4,1,35.05934618572225,1,3,1,3,1
6.875424941518054,7.86908193183477,1.9664285043634704,110.92217042472471,258.2996154515096,5.419365507422971,1.0887200756694617,0.7623762937429421,12.09427674037417,3.0,4.0,4.0,2,3,5,1,30.079881349347307,1,2,2,2,2
5.974337759331153,3.2651770641416835,5.614274608789994,81.97491001394488,349.4725772595308,2.967876810129523,0.8284893946989235,0.422359740917325,8.164666902891597,5.0,4.0,3.0,3,3,4,2,34.360570151317766,0,3,2,3,1
8.628494665190548,0.902119923400976,3.23320015600588,120.61027146109163,241.80368602215054,3.7020967669697735,0.0,0.6083756850090609,9.381423121852336,4.0,4.0,2.0,2,3,4,2,35.99405284975241,1,3,2,2,1
6.183951848957578,5.1879140548638025,2.8231917280541925,142.22034060540895,351.054723258257,2.5151270304646767,1.4852522819831575,1.0014978309945834,9.51677229002714,4.0,3.0,2.0,2,2,5,2,50.51534664040591,1,2,1,2,2
5.175392597329417,6.9931334398396565,4.156710507666685,176.6351129482556,317.0180896953428,3.68426795419445,0.21443440628888943,0.8212646876514407,8.288338623911823,5.0,4.0,3.0,2,3,5,2,33.52964589621852,0,3,2,3,2
10.931297537843108,8.160471149529894,3.299341135116087,157.5452432627192,252.29402487264633,5.026157486402111,1.4658281184656725,0.26475117734200415,10.692253094235895,3.0,2.0,4.0,2,2,5,2,31.42275827349714,0,3,1,3,2
7.548447399026928,5.166309548246282,3.4790738315271925,214.32268988690916,342.29078522676474,4.20187492721837,3.6157708095629846,0.0,7.299835921862531,5.0,2.0,2.0,2,3,5,1,17.84922347885402,0,3,2,2,2
8.135056409375848,5.259432107191196,5.990620798320824,108.57583775818424,343.7271780550911,5.967221228440443,0.9906549036692914,0.5890317521252705,12.331613796739834,5.0,3.0,2.0,3,2,4,2,18.54761655900484,0,3,2,3,2
